"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"AAPH","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER PETRO-HUNTER INC","N","N","USA","American Petro-Hunter, Inc."
"AAPJ","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AAP INC","N","N","Japan","AAP, Inc."
"AAPT","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ALL AMERICAN PET CO INC","N","N","USA","All American Pet Company, Inc."
"AASI","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ALL ASIA LICENSING INC","N","N","USA","All Asia Licensing, Inc."
"AASL","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMERICA'S SUPPLIERS INC","N","N","USA","America's Suppliers, Inc."
"AASP","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ALL-AMER SPORTPARK INC","N","N","USA","All-American SportPark, Inc."
"AAST","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ALLIED AMERICAN STEEL CRP","N","N","USA","Allied American Steel Corp."
"AASUF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ASATSU DK INC ORD","N","N","Japan","Asatsu DK Inc."
"AATGF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ATI AIRTEST TECHS INC","N","N","Canada","ATI Airtest Technologies Inc."
"AATRL","Grey Market","12/11/2013","Grey Market","N","Preferred Stock","","AMG CAP TR II 5.15% CONV","N","N","","AMG Capital Trust II"
"AATSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AASTRA TECHS LTD","N","N","Canada","Aastra Technologies Limited"
"AAUI","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ANDINA GROUP INC","N","N","USA","Andina Group, Inc."
"AAUJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ANDEANGOLD LTD NEW","N","N","Canada","AndeanGold Ltd."
"AAUKF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ANGLO AMER PLC ORD.","N","N","United Kingdom","Anglo American plc"
"AAUKY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ANGLO AMER PLC ADS","N","N","United Kingdom","Anglo American plc"
"AAVC","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","ASTRA VENTURES INC","N","N","China","Astra Ventures Inc"
"AAVG","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","AVSTAR AVIATION GROUP INC","N","N","USA","AvStar Aviation Group, Inc."
"AAXT","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AAMAXAN TRANSPORT GRP INC","N","N","Canada","Aamaxan Transport Group, Inc."
"AAYYY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","AUSTRALIAN AGRCL UNSP/ADR","N","N","Australia","Australian Agricultural Co Ltd."
"ABAKF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN ASIA-PAC INC INV","N","N","United Kingdom","Aberdeen Asia-Pacific Income Investment Co. Ltd."
"ABASF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN ASIAN SMLR","N","N","","Aberdeen Asian Smaller Companies Investment Trust Plc"
"ABAT","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","ADVANCED BATTERY TECHS","N","N","USA","Advanced Battery Technologies, Inc."
"ABBB","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","AUBURN BANCORP INC","N","N","USA","Auburn Bancorp, Inc."
"ABBRF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","GLENMARK CAPITAL CORP","N","N","Canada","Glenmark Capital Corp."
"ABBY","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ABBY INC","N","N","USA","Abby, Inc."
"ABCAF","Grey Market","12/11/2013","Grey Market","N","","","ATHABASCA MINERALS INC","N","N","","Athabasca Minerals Inc."
"ABCE","Grey Market","12/11/2013","Grey Market","N","Common Stock","","ABCO ENERGY INC","N","N","USA","ABCO Energy, Inc."
"ABCFF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABACUS MINING & EXPL CORP","N","N","Canada","Abacus Mining & Exploration Corp."
"ABCP","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMBASE CORP","N","N","USA","AmBase Corp."
"ABCR","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ABC RECORDS MGMT & DATA","N","N","China","ABC Records Management and Data Storage Inc"
"ABCXF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ASIA BIO-CHEM GROUP ORD","N","N","Canada","Asia Bio-Chem Group Corp."
"ABCZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABCAM PLC ORD","N","N","United Kingdom","Abcam PLC"
"ABCZY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABCAM PLC ADR","N","N","United Kingdom","Abcam PLC"
"ABDNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN ASSET MGMT PLC","N","N","United Kingdom","Aberdeen Asset Management PLC"
"ABDNY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABERDEEN ASSET MGMT ADR","N","N","United Kingdom","Aberdeen Asset Management PLC"
"ABDR","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMBASSADOR FOOD SVCS CORP","N","N","USA","Ambassador Food Services Corp."
"ABDTF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN NEW DAWN INVS TR","N","N","","Aberdeen New Dawn Investment Trust Plc."
