"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name" 
"BZYR","OTC Link","12/11/2013","OTCQB","N","Common Stock","","BURZYNSKI RESH INSTITUTE","N","N","USA","Burzynski Research Institute, Inc."
"BZZFF","Grey Market","12/11/2013","Grey Market","N","Other Security Type","","BUZZI UNICEM SPA NON CONV","N","N","Italy","Buzzi Unicem SpA"
"BZZUF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","BUZZI UNICEM SPA ITL","N","N","Italy","Buzzi Unicem SpA"
"BZZUY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","BUZZI UNICEM SPA UNSP/ADR","N","N","Italy","Buzzi Unicem SpA"
"BZZZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","BEZANT RESOURCES PLC ORD","N","N","","Bezant Resources Plc"
"CAAEF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","CANACOL ENERGY ORD","N","N","Canada","Canacol Energy Ltd."
"CAAFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CELESTIAL ASIA SECS HLDGS","N","N","Hong Kong","Celestial Asia Secs Holdings Ltd."
"CABB","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CALIF BUSINESS BANK (CA)","N","N","USA","California Business Bank (Los Angeles)"
"CABC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CALIFORNIA BK OF COMMERCE","N","N","USA","California Bank of Commerce (CA)"
"CABE","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALIBRE ENERGY INC","N","N","USA","Calibre Energy, Inc."
"CABGY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","B","CARLSBERG AS SP/ADR REP B","N","N","Denmark","Carlsberg AS"
"CABHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","A","CARLSBER AS SHS A","N","N","","Carlsber AS"
"CABJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","B","CARLSBURG AS B ORD","N","N","Denmark","Carlsberg AS"
"CABLF","Grey Market","12/11/2013","Grey Market","Y","Ordinary Shares","","CHINA CABLECOM HLDGS LTD","N","N","China","China Cablecom Holdings, Ltd."
"CABN","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CARBON SCIENCES INC","N","N","USA","Carbon Sciences, Inc."
"CACJ","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAC HOMES CORP","N","N","USA","CAC Homes Corp."
"CACL","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","CROWN ALLIANCE CAP LTD","N","N","Canada","Crown Alliance Capital Limited"
"CACP","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CAROLINA CO AT PINEHURST","N","N","","Carolina Company at Pinehurst Inc."
"CACT","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CODE 2 ACTION INC","N","N","USA","Code 2 Action, Inc"
"CADAF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CADAN RESOURCES CORP NEW","N","N","Canada","Cadan Resources Corp."
"CADGF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","CORPORACION DURANGO SA","N","N","Mexico","Bio Papel Sab de C.V."
"CADIF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CADILLAC VENTURES INC ORD","N","N","Canada","Cadillac Ventures Inc."
"CADNF","OTC Link","12/11/2013","OTCQB","N","Ordinary Shares","","CASCADES INC","N","N","Canada","Cascades Inc."
"CADV","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAREADVANTAGE INC DEL","N","N","USA","CareAdvantage, Inc."
"CADY","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","DIGITAL CADDIES INC","N","N","USA","Digital Caddies, Inc."
"CAEEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAREER DESIGN CTR CO LTD","N","N","","Career Design Center Co Ltd"
"CAEFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CALDERA RES INC ORD","N","N","Canada","Caldera Resources Inc."
"CAEH","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALECO PHARMA CORP","N","N","USA","Caleco Pharma Corp."
"CAEN","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALIF-ENGELS MINING CO","N","N","USA","California-Engels Mining Co."
"CAFZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CANAF GROUP INC","N","N","Canada","Canaf Group Inc."
"CAGDF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","CENTERRA GOLD INC","N","N","Canada","Centerra Gold Inc."
"CAGM","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","CHINA GREEN MATL TECH INC","N","N","China","China Green Material Technologies, Inc."
"CAGR","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALIFORNIA GRAPES INTL","N","N","USA","California Grapes International, Inc."
"CAGU","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CASTLE GROUP INC UTAH","N","N","USA","Castle Group, Inc. (THE)"
"CAGZ","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CULLEN AGRICULTURAL HLDG","N","N","USA","Cullen Agricultural Holding Corp."
"CAHI","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CARRIER ALLIANCE HLDGS","N","N","USA","Carrier Alliance Holdings, Inc."
"CAHPF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","EVOLUTION MINING LTD ORD","N","N","Australia","Evolution Mining Ltd."
"CAIHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA AEROSPACE INTL HLDG","N","N","China","China Aerospace International Holdings Ltd."
"CAIXY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CAIXABANK SA UNSP/ADR","N","N","Spain","Caixabank SA"
"CAJFF","OTC Link","12/11/2013","OTCQB","N","Ordinary Shares","","CANON INC","N","N","Japan","Canon, Inc."
"CAKFF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","CELESIO AG NAMEN-AKT","N","N","Germany","Celesio AG"
"CAKFY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CELESIO AG UNSP/ADR","N","N","Germany","Celesio AG"
"CALAQ","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","CATALINA LIGHTING INC","N","N","USA","Catalina Lighting, Inc."
"CALB","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CALIBRUS INC","N","N","USA","Calibrus Inc."
"CALEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CALEDONIA INVST PLC","N","N","United Kingdom","Caledonia Investments Plc."
"CALN","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","CALLNOW.COM INC","N","N","","CallNOW.com, Inc."
"CALVF","OTC Link/BB","12/11/2013","OTCQX International","N","Ordinary Shares","","CALEDONIA MINING CORP","N","N","Canada","Caledonia Mining Corp."
"CALW","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CALWEST BANCORP (CA)","N","N","USA","CalWest Bancorp"
"CALZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CALZADA LTD","N","N","Australia","Calzada Ltd."
"CAMCF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAMCO INTL LTD ORD","N","N","","Camco Internationl Ltd."
"CAME","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CHINAMERICA ANDY MOVIE EN","N","N","USA","ChinAmerica Andy Movie Entertainment Media Co."
"CAMG","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CAM GROUP INC","N","N","China","CAM Group, Inc."
"CAMH","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAMBRIDGE HEART INC","N","N","USA","Cambridge Heart, Inc."
"CAMJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CANON MARKETING JAPAN ORD","N","N","","Canon Marketing Japan Inc."
"CAMS","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAMBRIAN SYSTEMS INC","N","N","USA","Cambrian Systems, Inc."
"CAMYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAISSE REG DE CRED COOP","N","N","","Caisse Regionale De Credit Agricole Mutuel De Cert Coop D'Invest"
"CAMZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAMINO MINERALS CORP ORD","N","N","Canada","Camino Minerals Corp."
"CANFY","OTC Link","12/11/2013","OTCQB","N","American Depository Receipts","","CAN-FITE BIOPHARMA LTD","N","N","Israel","Can-Fite Biopharma Ltd."
"CANMQ","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CANEUM INC","N","N","USA","Caneum, Inc."
"CANN","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","ADVANCED CANNABIS SOLUTNS","N","N","USA","Advanced Cannabis Solutions, Inc."
"CANP","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CANADIAN PIPER AIR CORP","N","N","","Canadian Piper Air Corp."
"CANSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","MAKENA RESOURCES INC ORD","N","N","Canada","Makena Resources Inc."
"CANV","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CANNAVEST CORP","N","N","USA","CannaVest Corp."
"CANWF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ORCA GOLD INC ORD","N","N","Canada","Orca Gold Inc."
"CANY","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CANYON SILVER MINES INC","N","N","USA","Canyon Silver Mines, Inc."
"CAOHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","SINOPOLY BATTERY LTD","N","N","","Sinopoly Battery Ltd."
"CAOJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","C A T OIL AG ORD","N","N","","C A T Oil AG"
"CAOLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA AVIATION OIL SNGAPR","N","N","","China Aviation Oil Singapore Corp. Ltd."
"CAOMF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CANCOR MINES INC","N","N","Canada","Cancor Mines Inc."
"CAON","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CHANG-ON INTL INC","N","N","China","Chang-On International, Inc."
"CAOVF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA OVERSEAS LD&INV LTD","N","N","China","China Overseas Land & Investment Ltd."
"CAOVY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CHINA OVERSEAS L&I UN/ADR","N","N","China","China Overseas Land & Investment Ltd."
"CAOX","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALIF ORCHARD CO","N","N","USA","California Orchard Co."
"CAOYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA AOYUAN PPTY GRP LTD","N","N","","China Aoyuan Property Group, Ltd."
"CAPA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAPITAL ART INC","N","N","USA","Capital Art, Inc."
"CAPB","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAPITALSOUTH BANCORP","N","N","USA","CapitalSouth Bancorp"
"CAPC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CAPSTONE COMPANIES INC","N","N","USA","Capstone Companies, Inc."
"CAPMF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","CAP GEMINI SOGETI SA","N","N","France","Cap Gemini SA"
"CAPP","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CAPSTONE FINANCIAL GP INC","N","N","USA","Capstone Financial Group Inc."
"CAPS","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CAPSTONE THERAPEUTICS CRP","N","N","USA","Capstone Therapeutics Corp"
"CAPWF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CLEAN AIR POWER LTD ORD","N","N","","Clean Air Power Ltd"
"CARAF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CARACARA SILVER INC","N","N","","Caracara Silver Inc."
"CARCY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CHINA RES CEMENT HLDGS","N","N","China","China Resources Cement Holdings Ltd."
"CARD","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CARDIGANT MEDICAL INC","N","N","USA","Cardigant Medical Inc."
"CARE","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CARTER BK&TR MRTNSVLE VA","N","N","USA","Carter Bank & Trust (Martinsville VA)"
"CARI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","CARTIS INC","N","N","","Cartis, Inc."
"CARO","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CAROLINA FINANCIAL CORP","N","N","USA","Carolina Financial Corp"
"CARSO","OTC Link","12/11/2013","OTC Pink No Information","N","Preferred Stock","","CAPITAL AUTOMTVE 8% B PFD","N","N","USA","Capital Automotive REIT"
"CARSP","OTC Link","12/11/2013","OTC Pink No Information","N","Preferred Stock","","CAPITAL A/R 7.50% A PFD","N","N","USA","Capital Automotive REIT"
"CASA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","MEXICAN RESTAURNTS INC","N","N","USA","Mexican Restaurants, Inc."
"CASDY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CHINA NATL MTRLS UNSP/ADR","N","N","China","China National Materials Co., Ltd."
"CASG","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CANADIAN AEROSPCE GP INTL","N","N","USA","Canadian Aerospace Group International, Inc."
"CAST","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","CHINACAST EDUCATION CORP","N","N","China","ChinaCast Education Corp."
"CATA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CATALYST RESOURCE GRP INC","N","N","USA","Catalyst Resource Group, Inc."
"CATC","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CAMBRIDGE BANCORP","N","N","USA","Cambridge Bancorp"
"CATPF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","GIYANI GOLD CORP ORD","N","N","Canada","Giyani Gold Corp"
"CATS","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CATASYS INC","N","N","USA","Catasys Inc."
"CATV","OTC Link","12/11/2013","OTCQB","N","Common Stock","","4CABLE TV INTL INC","N","N","USA","4Cable TV International, Inc."
"CATWF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA TONTINE WINES ORD","N","N","","China Tontine Wines Group Ltd."
"CATXF","OTC Link","12/11/2013","OTCQX International","N","Ordinary Shares","","CATALYST COPPER CORP ORD","N","N","Canada","Catalyst Copper Corp."
"CAULF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAULDRON ENERGY LTD ORD","N","N","","Cauldron Energy Ltd."
"CAUS","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAUSEWAY TECHS INC","N","N","United Kingdom","Causeway Technologies, Inc."
"CAUXF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CONSTRUCIONES Y AUXILIAR","N","N","","Construciones y Auxilar"
"CAUZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA AUTOMATION GP ORD","N","N","","China Automation Group Limited"
"CAVR","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","CAVU RESOURCES INC","N","N","USA","CAVU Resources Inc."
"CAWLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CWC WELL SERVICES CORP","N","N","Canada","CWC Well Services Corp."
"CAXBF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","B","CATELLA AB SHARES B","N","N","","Catella AB"
"CAXPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CARMAX MINING CORP","N","N","Canada","Carmax Mining Corp."
"CAZFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CAZA OIL & GAS INC","N","N","USA","Caza Oil & Gas Inc."
"CBAF","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CITBA FINANCIAL CORP","N","N","USA","Citba Financial Corp."
"CBAI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CORD BLOOD AMERICA INC","N","N","USA","Cord Blood America, Inc."
"CBAT","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CORTRONIX BIOMEDICAL ADV","N","N","USA","Cortronix Biomedical Advancement Technologies, Inc."
"CBAUF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CMNWLTH BK AUSTRALIA","N","N","Australia","Commonwealth Bank of Australia"
"CBAUY","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","CMNWLTH BK AUSTRLA 144A","N","N","Australia","Commonwealth Bank of Australia"
"CBBC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COMMUNITY BUSINESS BANK","N","N","USA","Community Business Bank (West Sacramento, CA)"
"CBBI","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CARIBBEAN HLDGS INTL CORP","N","N","","Caribbean Holdings International Corp."
"CBCCQ","OTC Link","12/11/2013","OTCQB","N","Preferred Stock","","CAPITOL TRUST I PFD 8.50%","N","N","USA","Capitol Trust I"
"CBCFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CALBEE INC ORD","N","N","Japan","Calbee Inc."
"CBCO","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COASTAL BANKING CO INC","N","N","USA","Coastal Banking Company, Inc."
"CBCOQ","OTC Link","12/11/2013","OTCQB","N","Preferred Stock","","CAPITOL TRUST XII 10.50%","N","N","USA","Capitol Trust XII"
"CBCPQ","OTC Link","12/11/2013","OTC Pink No Information","N","Preferred Stock","","COLONIAL C/T IV 7.875% PR","N","N","USA","Colonial Capital Trust IV"
"CBCRQ","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CAPITOL BANCORP LTD","N","N","USA","Capitol Bancorp Limited"
"CBCY","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CENTRAL BANCOMPANY","N","N","","Central Bancompany"
"CBCYB","Grey Market","12/11/2013","Grey Market","N","Common Stock","B","CENTRAL BANCO B NON VTG","N","N","","Central Bancompany"
"CBCZ","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COMUNIBANC CORP","N","N","USA","Comunibanc Corp."
"CBDLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CANADA BREAD LTD","N","N","Canada","Canada Bread Company Limited"
"CBDS","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","ULTRA SUN CORP","N","N","USA","Ultra Sun Corp"
"CBEEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CABO DRILLING CORP ORD","N","N","Canada","Cabo Drilling Corp."
"CBEH","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","CHINA INTEGRATED ENGY INC","N","N","China","China Integrated Energy, Inc."
"CBEV","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAPITAL BEVERAGE CORP","N","N","USA","Capital Beverage Corp."
"CBEX","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CAMBEX CORP","N","N","USA","Cambex Corp."
"CBFA","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CB FINANCIAL CORP NEW","N","N","USA","CB Financial Corp."
"CBFC","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CNB FINCL SVCS INC","N","N","USA","CNB Financial Services, Inc."
"CBFCA","Grey Market","12/11/2013","Grey Market","N","Common Stock","A","CNB FINCL SVCS INC A","N","N","USA","CNB Financial Services, Inc."
"CBFV","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CB FINCL SVCS INC PA","N","N","USA","CB Financial Services, Inc."
"CBGDF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","COLUMBUS GOLD CORP","N","N","Canada","Columbus Gold Corp."
"CBGEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","COMPAGNIE MARITIME ORD","N","N","","Compagnie Maritime Belge SA"
"CBGH","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CHINA YIBAI UNITED G/I HL","N","N","China","China Yibai United Guarantee International Holding Inc"
"CBGPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CLOSE BROTHERS GROUP ORD","N","N","United Kingdom","Close Brothers Group Plc"
"CBGPY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CLOSE BROS GRP UNSP/ADR","N","N","United Kingdom","Close Brothers Group Plc"
"CBHC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CBC HOLDINGS CO","N","N","USA","CBC Holding Company"
"CBHDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CB GOLD INC ORD","N","N","Canada","CB Gold, Inc."
"CBHMF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","COBHAM PLC ORD","N","N","United Kingdom","Cobham Plc"
"CBHMY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","COBHAM PLC UNSP/ADR","N","N","United Kingdom","Cobham Plc"
"CBHR","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALIF BEACH RESTAURNT INC","N","N","USA","California Beach Restaurants, Inc."
"CBIA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CANOPUS BIOPHARMA INC","N","N","USA","Canopus Biopharma, Inc."
"CBIS","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CANNABIS SCIENCE INC","N","N","USA","Cannabis Science, Inc."
"CBJC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CAPITAL BK(SAN JUAN CA)","N","N","USA","Capital Bank  (San Juan Capistrano, CA)"
"CBKAL","Grey Market","12/11/2013","Grey Market","N","Preferred Stock","D","COBANK ACB DPFD","N","N","","Cobank Acb"
"CBKAP","Grey Market","12/11/2013","Grey Market","N","Preferred Stock","E","COBANK ACB FLTG PFD E","N","N","","Cobank Acb"
"CBKAZ","Grey Market","12/11/2013","Grey Market","N","Preferred Stock","F","COBANK ACB F PFD 144A","N","N","","Cobank Acb"
"CBKKY","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","CITIBANK KOREA GDE 144A","N","N","","Citibank Korea Inc."
"CBKM","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CONSUMERS BANCORP INC","N","N","USA","Consumers Bancorp, Inc."
"CBKS","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COMMUTY BK OF SO FLA INC","N","N","USA","Community Bank of South Florida Inc."
"CBKW","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CHOICE BANCORP INC WISCON","N","N","USA","Choice Bancorp, Inc. (Wisconsin)"
"CBKX","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COLONIAL  AMER BK PA","N","N","USA","Colonial American Bank West Conshohocken PA"
"CBLNY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","MERSEN UNSP/ADR","N","N","France","Mersen"
"CBLRF","OTC Link","12/11/2013","OTC Pink No Information","N","Ordinary Shares","","CAMPBELL RES INC","N","N","Canada","Campbell Resources Inc."
"CBLUF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA BLUECHEMICAL LTD H","N","N","China","China Bluechemical Ltd."
"CBLUY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CHINA BLUE CHEM UNSP/ADR","N","N","China","China Bluechemical Ltd."
"CBLY","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CHINA BILINGUAL TECH","N","N","China","China Bilingual Technology & Education Group Inc."
"CBMC","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CALYPTE BIOMED CORP","N","N","USA","Calypte Biomedical Corp."
"CBMDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CBM ASIA DEV CORP","N","N","Canada","CBM Asia Developmental Corp."
"CBMG","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CELLULAR BIOMEDICINE GP","N","N","USA","Cellular Biomedicine Group, Inc."
"CBMI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CSB BANCORP INC (MICH)","N","N","USA","CSB Bancorp, Inc."
"CBMRF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA BIO-MED REG TECH","N","N","","China Bio-Med Regeneration Technology Ltd"
"CBNC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","COUNTY BANK CORP","N","N","USA","County Bank Corp."
"CBNR","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CUBIC ENERGY INC","N","N","USA","Cubic Energy, Inc."
"CBNY","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","COMMUNITY NATL BANK (NY)","N","N","USA","Community National Bank (NY)"
"CBOF","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CBOA FINANCIAL INC","N","N","USA","CBOA Financial, Inc."
"CBOQF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA BOQI ENVIRNMNTL HLD","N","N","","China Boqi Environmental Solutions Technology Holding Co. Ltd."
"CBPI","Grey Market","12/11/2013","Grey Market","N","Common Stock","","CHINA BOTANIC PHARMS INC","N","N","China","China Botanic Pharmaceutical Inc."
"CBPJ","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","CBP CARBON INDUS INC","N","N","USA","CBp Carbon Industries, Inc."
"CBQRL","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","COMMERCIAL BANK OF QATAR","N","N","Qatar","Commercial Bank of Qatar"
"CBRAF","Grey Market","12/11/2013","Grey Market","Y","Ordinary Shares","A","CBR BREWING CO INC A","N","N","China","CBR Brewing Co., Inc."
"CBRJ","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","CARBON RACE CORP","N","N","USA","Carbon Race Corp."
"CBRP","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","CAMBRIDGE RESOURCES CORP","N","N","","Cambridge Resources Corp."
"CBRSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHAMPION BEAR RES LTD","N","N","Canada","Champion Bear Resources Ltd."
"CBSI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CENTRAL BNCSHS INC","N","N","USA","Central Bancshares, Inc."
"CBSJ","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CREATIVE BEAUTY SUPPLY NJ","N","N","USA","Creative Beauty Supply of New Jersey Corp."
"CBSU","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CENTRAL BANK CORP","N","N","USA","Central Bank Corp."
"CBTC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","CBT FINANCIAL CORP","N","N","USA","CBT Financial Corp."
"CBTH","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","CITIZENS B & T HLDGS INC","N","N","USA","Citizens B & T Holdings, Inc."
"CBUDY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","CASHBUILD LTD S/ADR","N","N","","Cashbuild Ltd"
"CBUIF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","COMMODORE INTL LTD","N","N","","Commodore International Limited"
"CBULF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CARIBOU KING RES LTD ORD","N","N","","Caribou King Resources Ltd"
"CBUMF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHINA NATL BLDGS MTRLS H","N","N","China","China National Buildings Material"
"CBUMY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","CHINA NATL BLDGS MT U/ADR","N","N","China","China National Buildings Material"
"CBUPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","CHUBU NIPPON BRDCSTNG","N","N","","Chubu Nippon Broadcasting Co., Ltd."
